j5	j3	count	startpos	productsize	JS	deletion size	chorm	type	name	start	end	evtype	evrelorf	evsize	startpos_byfusion
4966	23584	11	106	9	4966 - 23584	18618						in-frame-fusion-orf	ORF1a-S	"(1567.0, 600.0)"	
3061	26518	11	106	9	3061 - 26518	23457						mid-utr-inserted-fusion	ORF1a-M	"(932.0, 1.3333333333333333)"	
5078	11332	11	106	9	5078 - 11332	6254						frameshift-fusion-orf	ORF1a-ORF1a	"(1604.3333333333333, 1616)"	
5464	13190	11	106	9	5464 - 13190	7726						frameshift-fusion-orf	ORF1a-ORF1a	"(1733.0, 1758)"	
3058	25779	11	106	9	3058 - 25779	22721						in-frame-fusion-orf	ORF1a-ORF3a	"(931.0, 147.0)"	
20466	28437	11	106	9	20466 - 28437	7971						frameshift-fusion-orf	ORF1b-N	"(2333.0, 2342)"	
4964	11830	11	106	9	4964 - 11830	6866						frameshift-fusion-orf	ORF1a-ORF1a	"(1566.3333333333333, 1571)"	
4963	27526	11	106	9	4963 - 27526	22563						frameshift-fusion-orf	ORF1a-ORF7a	"(1566.0, 1570)"	
4963	24799	11	106	9	4963 - 24799	19836						in-frame-fusion-orf	ORF1a-S	"(1566.0, 195.0)"	
4963	24789	11	106	9	4963 - 24789	19826						frameshift-fusion-orf	ORF1a-S	"(1566.0, 1573)"	
21363	27402	11	106	9	21363 - 27402	6039						in-frame-fusion-orf	ORF1b-ORF7a	"(2632.0, 119.0)"	
5924	23220	11	106	9	5924 - 23220	17296						frameshift-fusion-orf	ORF1a-S	"(1886.3333333333333, 1931)"	
6134	13749	11	106	9	6134 - 13749	7615						frameshift-fusion-orf	ORF1a-ORF1b	"(1956.3333333333333, 1957)"	
6218	27021	11	106	9	6218 - 27021	20803						in-frame-fusion-orf	ORF1a-M	"(1984.3333333333333, 56.666666666666664)"	
8857	15601	11	106	9	8857 - 15601	6744						frameshift-fusion-orf	ORF1a-ORF1b	"(2864.0, 2885)"	
2504	20204	11	106	9	2504 - 20204	17700						frameshift-fusion-orf	ORF1a-ORF1b	"(746.3333333333334, 765)"	
11394	24732	11	106	9	11394 - 24732	13338						in-frame-fusion-orf	ORF1a-S	"(3709.6666666666665, 217.33333333333334)"	
11394	23551	11	106	9	11394 - 23551	12157						frameshift-fusion-orf	ORF1a-S	"(3709.6666666666665, 3733)"	
11394	20308	11	106	9	11394 - 20308	8914						frameshift-fusion-orf	ORF1a-ORF1b	"(3709.6666666666665, 3720)"	
2504	26242	11	106	9	2504 - 26242	23738						mid-utr-inserted-fusion	ORF1a-E	"(746.3333333333334, 0.6666666666666666)"	
17206	24413	11	106	9	17206 - 24413	7207						in-frame-fusion-orf	ORF1b-S	"(1246.3333333333333, 323.6666666666667)"	
2506	12451	11	106	9	2506 - 12451	9945						in-frame-fusion-orf	ORF1a-ORF1a	"(747.0, 338.6666666666667)"	
9281	15669	11	106	9	9281 - 15669	6388						frameshift-fusion-orf	ORF1a-ORF1b	"(3005.3333333333335, 3012)"	
2506	27309	11	106	9	2506 - 27309	24803						in-frame-fusion-orf	ORF1a-ORF6	"(747.0, 26.0)"	
18326	27559	11	106	9	18326 - 27559	9233						frameshift-fusion-orf	ORF1b-ORF7a	"(1619.6666666666667, 1623)"	
8481	28367	11	106	9	8481 - 28367	19886						frameshift-fusion-orf	ORF1a-N	"(2738.6666666666665, 2754)"	
17766	24981	11	106	9	17766 - 24981	7215						frameshift-fusion-orf	ORF1b-S	"(1433.0, 1436)"	
7926	21633	11	106	9	7926 - 21633	13707						in-frame-fusion-orf	ORF1a-S	"(2553.6666666666665, 1250.3333333333333)"	
7770	21768	11	106	9	7770 - 21768	13998						in-frame-fusion-orf	ORF1a-S	"(2501.6666666666665, 1205.3333333333333)"	
7078	19847	11	106	9	7078 - 19847	12769						frameshift-fusion-orf	ORF1a-ORF1b	"(2271.0, 2276)"	
7077	26979	11	106	9	7077 - 26979	19902						frameshift-fusion-orf	ORF1a-M	"(2270.6666666666665, 2277)"	
7076	12115	11	106	9	7076 - 12115	5039						frameshift-fusion-orf	ORF1a-ORF1a	"(2270.3333333333335, 2284)"	
6385	28443	11	106	9	6385 - 28443	22058						frameshift-fusion-orf	ORF1a-N	"(2040.0, 2047)"	
6377	19943	11	106	9	6377 - 19943	13566						frameshift-fusion-orf	ORF1a-ORF1b	"(2037.3333333333333, 2060)"	
6220	29398	11	106	9	6220 - 29398	23178						in-frame-fusion-orf	ORF1a-N	"(1985.0, 45.0)"	
2221	9344	11	106	9	2221 - 9344	7123						frameshift-fusion-orf	ORF1a-ORF1a	"(652.0, 659)"	
16833	23300	11	106	9	16833 - 23300	6467						frameshift-fusion-orf	ORF1b-S	"(1122.0, 1140)"	
16833	23733	11	106	9	16833 - 23733	6900						frameshift-fusion-orf	ORF1b-S	"(1122.0, 1142)"	
17769	27391	11	106	9	17769 - 27391	9622						mid-utr-inserted-fusion	ORF1b-ORF7a	"(1434.0, 0.6666666666666666)"	
16751	24421	11	106	9	16751 - 24421	7670						frameshift-fusion-orf	ORF1b-S	"(1094.6666666666667, 1100)"	
14284	25207	11	106	9	14284 - 25207	10923						frameshift-fusion-orf	ORF1b-S	"(272.3333333333333, 298)"	
6134	16966	11	106	9	6134 - 16966	10832						in-frame-fusion-orf	ORF1a-ORF1b	"(1956.3333333333333, 1528.6666666666667)"	
5465	17544	11	106	9	5465 - 17544	12079						frameshift-fusion-orf	ORF1a-ORF1b	"(1733.3333333333333, 1743)"	
4865	27358	11	106	9	4865 - 27358	22493						in-frame-fusion-orf	ORF1a-ORF6	"(1533.3333333333333, 9.666666666666666)"	
2504	27199	11	106	9	2504 - 27199	24695						mid-utr-inserted-fusion	ORF1a-ORF6	"(746.3333333333334, 0.6666666666666666)"	
16833	23763	11	106	9	16833 - 23763	6930						frameshift-fusion-orf	ORF1b-S	"(1122.0, 1132)"	
16833	25339	11	106	9	16833 - 25339	8506						in-frame-fusion-orf	ORF1b-S	"(1122.0, 15.0)"	
276	15551	11	106	9	276 - 15551	15275						in-frame-fusion-orf	ORF1a-ORF1b	"(3.6666666666666665, 2000.3333333333333)"	
16833	26022	11	106	9	16833 - 26022	9189						in-frame-fusion-orf	ORF1b-ORF3a	"(1122.0, 66.0)"	
6219	11219	11	106	9	6219 - 11219	5000						frameshift-fusion-orf	ORF1a-ORF1a	"(1984.6666666666667, 1990)"	
3960	10561	11	106	9	3960 - 10561	6601						frameshift-fusion-orf	ORF1a-ORF1a	"(1231.6666666666667, 1239)"	
2504	11868	11	106	9	2504 - 11868	9364						frameshift-fusion-orf	ORF1a-ORF1a	"(746.3333333333334, 748)"	
274	25475	11	106	9	274 - 25475	25201						frameshift-fusion-orf	ORF1a-ORF3a	"(3.0, 76)"	
2504	12073	11	106	9	2504 - 12073	9569						frameshift-fusion-orf	ORF1a-ORF1a	"(746.3333333333334, 758)"	
16833	23595	11	106	9	16833 - 23595	6762						frameshift-fusion-orf	ORF1b-S	"(1122.0, 1122)"	
952	12049	11	106	9	952 - 12049	11097						in-frame-fusion-orf	ORF1a-ORF1a	"(229.0, 472.6666666666667)"	
1599	29100	11	106	9	1599 - 29100	27501						in-frame-fusion-orf	ORF1a-N	"(444.6666666666667, 144.33333333333334)"	
1597	23407	11	106	9	1597 - 23407	21810						in-frame-fusion-orf	ORF1a-S	"(444.0, 659.0)"	
16833	23451	11	106	9	16833 - 23451	6618						frameshift-fusion-orf	ORF1b-S	"(1122.0, 1132)"	
1595	17103	11	106	9	1595 - 17103	15508						frameshift-fusion-orf	ORF1a-ORF1b	"(443.3333333333333, 468)"	
1170	28500	11	106	9	1170 - 28500	27330						in-frame-fusion-orf	ORF1a-N	"(301.6666666666667, 344.3333333333333)"	
1142	12064	11	106	9	1142 - 12064	10922						frameshift-fusion-orf	ORF1a-ORF1a	"(292.3333333333333, 307)"	
16833	23536	11	106	9	16833 - 23536	6703						in-frame-fusion-orf	ORF1b-S	"(1122.0, 616.0)"	
3202	29140	11	106	9	3202 - 29140	25938						in-frame-fusion-orf	ORF1a-N	"(979.0, 131.0)"	
1013	18432	11	106	9	1013 - 18432	17419						frameshift-fusion-orf	ORF1a-ORF1b	"(249.33333333333334, 254)"	
17766	28991	11	106	9	17766 - 28991	11225						frameshift-fusion-orf	ORF1b-N	"(1433.0, 1463)"	
952	11741	11	106	9	952 - 11741	10789						frameshift-fusion-orf	ORF1a-ORF1a	"(229.0, 238)"	
275	27425	11	106	9	275 - 27425	27150						frameshift-fusion-orf	ORF1a-ORF7a	"(3.3333333333333335, 23)"	
14741	28388	11	106	9	14741 - 28388	13647						frameshift-fusion-orf	ORF1b-N	"(424.6666666666667, 433)"	
813	22338	11	106	9	813 - 22338	21525						in-frame-fusion-orf	ORF1a-S	"(182.66666666666666, 1015.3333333333334)"	
813	15694	11	106	9	813 - 15694	14881						frameshift-fusion-orf	ORF1a-ORF1b	"(182.66666666666666, 190)"	
16833	23555	11	106	9	16833 - 23555	6722						frameshift-fusion-orf	ORF1b-S	"(1122.0, 1144)"	
17733	26270	11	106	9	17733 - 26270	8537						frameshift-fusion-orf	ORF1b-E	"(1422.0, 1427)"	
16833	28101	11	106	9	16833 - 28101	11268						frameshift-fusion-orf	ORF1b-ORF8	"(1122.0, 1151)"	
813	7162	11	106	9	813 - 7162	6349						frameshift-fusion-orf	ORF1a-ORF1a	"(182.66666666666666, 187)"	
278	29041	11	106	9	278 - 29041	28763						frameshift-fusion-orf	ORF1a-N	"(4.333333333333333, 13)"	
16833	27970	11	106	9	16833 - 27970	11137						frameshift-fusion-orf	ORF1b-ORF8	"(1122.0, 1129)"	
2504	8281	11	106	9	2504 - 8281	5777						frameshift-fusion-orf	ORF1a-ORF1a	"(746.3333333333334, 751)"	
2504	29167	11	106	9	2504 - 29167	26663						frameshift-fusion-orf	ORF1a-N	"(746.3333333333334, 788)"	
2288	28506	11	106	9	2288 - 28506	26218						frameshift-fusion-orf	ORF1a-N	"(674.3333333333334, 697)"	
14284	22264	11	106	9	14284 - 22264	7980						frameshift-fusion-orf	ORF1b-S	"(272.3333333333333, 274)"	
13136	22324	11	106	9	13136 - 22324	9188						frameshift-fusion-orf	ORF1a-S	"(4290.333333333333, 4308)"	
5238	12150	11	106	9	5238 - 12150	6912						in-frame-fusion-orf	ORF1a-ORF1a	"(1657.6666666666667, 439.0)"	
16833	29259	11	106	9	16833 - 29259	12426						frameshift-fusion-orf	ORF1b-N	"(1122.0, 1133)"	
3202	13564	11	106	9	3202 - 13564	10362						frameshift-fusion-orf	ORF1a-ORF1b	"(979.0, 979)"	
22257	28781	11	106	9	22257 - 28781	6524						frameshift-fusion-orf	S-N	"(231.66666666666666, 251)"	
16833	26333	11	106	9	16833 - 26333	9500						frameshift-fusion-orf	ORF1b-E	"(1122.0, 1139)"	
22971	29189	11	106	9	22971 - 29189	6218						frameshift-fusion-orf	S-N	"(469.6666666666667, 504)"	
16833	26964	11	106	9	16833 - 26964	10131						frameshift-fusion-orf	ORF1b-M	"(1122.0, 1130)"	
2286	13489	11	106	9	2286 - 13489	11203						frameshift-fusion-orf	ORF1a-ORF1b	"(673.6666666666666, 683)"	
16833	28500	11	106	9	16833 - 28500	11667						frameshift-fusion-orf	ORF1b-N	"(1122.0, 1123)"	
810	28175	11	106	9	810 - 28175	27365						frameshift-fusion-orf	ORF1a-ORF8	"(181.66666666666666, 186)"	
2543	11998	11	106	9	2543 - 11998	9455						frameshift-fusion-orf	ORF1a-ORF1a	"(759.3333333333334, 779)"	
2504	25504	11	106	9	2504 - 25504	23000						in-frame-fusion-orf	ORF1a-ORF3a	"(746.3333333333334, 238.66666666666666)"	
2449	24509	11	106	9	2449 - 24509	22060						frameshift-fusion-orf	ORF1a-S	"(728.0, 741)"	
16833	26994	11	106	9	16833 - 26994	10161						frameshift-fusion-orf	ORF1b-M	"(1122.0, 1151)"	
1599	15311	11	106	9	1599 - 15311	13712						in-frame-fusion-orf	ORF1a-ORF1b	"(444.6666666666667, 2080.3333333333335)"	
2504	11816	11	106	9	2504 - 11816	9312						in-frame-fusion-orf	ORF1a-ORF1a	"(746.3333333333334, 550.3333333333334)"	
1598	14573	11	106	9	1598 - 14573	12975						frameshift-fusion-orf	ORF1a-ORF1b	"(444.3333333333333, 455)"	
1641	26017	11	106	9	1641 - 26017	24376						frameshift-fusion-orf	ORF1a-ORF3a	"(458.6666666666667, 475)"	
16833	27002	11	106	9	16833 - 27002	10169						in-frame-fusion-orf	ORF1b-M	"(1122.0, 63.0)"	
5930	11287	11	106	9	5930 - 11287	5357						frameshift-fusion-orf	ORF1a-ORF1a	"(1888.3333333333333, 1891)"	
16833	27889	11	106	9	16833 - 27889	11056						mid-utr-inserted-fusion	ORF1b-ORF8	"(1122.0, 1.3333333333333333)"	
16833	28948	11	106	9	16833 - 28948	12115						in-frame-fusion-orf	ORF1b-N	"(1122.0, 195.0)"	
16833	28997	11	106	9	16833 - 28997	12164						frameshift-fusion-orf	ORF1b-N	"(1122.0, 1150)"	
2504	10165	11	106	9	2504 - 10165	7661						frameshift-fusion-orf	ORF1a-ORF1a	"(746.3333333333334, 755)"	
14321	26060	11	106	9	14321 - 26060	11739						in-frame-fusion-orf	ORF1b-ORF3a	"(284.6666666666667, 53.333333333333336)"	
2185	15927	11	106	9	2185 - 15927	13742						in-frame-fusion-orf	ORF1a-ORF1b	"(640.0, 1875.0)"	
2185	19891	11	106	9	2185 - 19891	17706						frameshift-fusion-orf	ORF1a-ORF1b	"(640.0, 653)"	
1641	25090	11	106	9	1641 - 25090	23449						frameshift-fusion-orf	ORF1a-S	"(458.6666666666667, 459)"	
1329	16351	11	106	9	1329 - 16351	15022						frameshift-fusion-orf	ORF1a-ORF1b	"(354.6666666666667, 355)"	
4862	10181	11	106	9	4862 - 10181	5319						in-frame-fusion-orf	ORF1a-ORF1a	"(1532.3333333333333, 1095.3333333333333)"	
2534	12600	11	106	9	2534 - 12600	10066						frameshift-fusion-orf	ORF1a-ORF1a	"(756.3333333333334, 766)"	
2504	13740	11	106	9	2504 - 13740	11236						frameshift-fusion-orf	ORF1a-ORF1b	"(746.3333333333334, 748)"	
2450	29171	11	106	9	2450 - 29171	26721						in-frame-fusion-orf	ORF1a-N	"(728.3333333333334, 120.66666666666667)"	
2450	16418	11	106	9	2450 - 16418	13968						frameshift-fusion-orf	ORF1a-ORF1b	"(728.3333333333334, 732)"	
2504	18355	11	106	9	2504 - 18355	15851						in-frame-fusion-orf	ORF1a-ORF1b	"(746.3333333333334, 1065.6666666666667)"	
2504	20095	11	106	9	2504 - 20095	17591						in-frame-fusion-orf	ORF1a-ORF1b	"(746.3333333333334, 485.6666666666667)"	
2450	14057	11	106	9	2450 - 14057	11607						frameshift-fusion-orf	ORF1a-ORF1b	"(728.3333333333334, 729)"	
2813	20127	11	106	9	2813 - 20127	17314						frameshift-fusion-orf	ORF1a-ORF1b	"(849.3333333333334, 859)"	
3200	15451	11	106	9	3200 - 15451	12251						in-frame-fusion-orf	ORF1a-ORF1b	"(978.3333333333334, 2033.6666666666667)"	
3202	17064	11	106	9	3202 - 17064	13862						in-frame-fusion-orf	ORF1a-ORF1b	"(979.0, 1496.0)"	
3202	29100	11	106	9	3202 - 29100	25898						frameshift-fusion-orf	ORF1a-N	"(979.0, 999)"	
4320	11094	11	106	9	4320 - 11094	6774						in-frame-fusion-orf	ORF1a-ORF1a	"(1351.6666666666667, 791.0)"	
3200	23558	11	106	9	3200 - 23558	20358						in-frame-fusion-orf	ORF1a-S	"(978.3333333333334, 608.6666666666666)"	
2504	13451	11	106	9	2504 - 13451	10947						in-frame-fusion-orf	ORF1a-ORF1a	"(746.3333333333334, 5.333333333333333)"	
2298	13965	11	106	9	2298 - 13965	11667						frameshift-fusion-orf	ORF1a-ORF1b	"(677.6666666666666, 680)"	
22633	28969	11	106	9	22633 - 28969	6336						in-frame-fusion-orf	S-N	"(357.0, 188.0)"	
4863	11954	11	106	9	4863 - 11954	7091						frameshift-fusion-orf	ORF1a-ORF1a	"(1532.6666666666667, 1537)"	
22632	29171	11	106	9	22632 - 29171	6539						frameshift-fusion-orf	S-N	"(356.6666666666667, 397)"	
4650	13647	11	106	9	4650 - 13647	8997						frameshift-fusion-orf	ORF1a-ORF1b	"(1461.6666666666667, 1463)"	
9833	28370	11	106	9	9833 - 28370	18537						in-frame-fusion-orf	ORF1a-N	"(3189.3333333333335, 387.6666666666667)"	
2503	29263	11	106	9	2503 - 29263	26760						in-frame-fusion-orf	ORF1a-N	"(746.0, 90.0)"	
2504	10349	11	106	9	2504 - 10349	7845						in-frame-fusion-orf	ORF1a-ORF1a	"(746.3333333333334, 1039.3333333333333)"	
8137	28371	11	106	9	8137 - 28371	20234						frameshift-fusion-orf	ORF1a-N	"(2624.0, 2638)"	
2504	26388	11	106	9	2504 - 26388	23884						frameshift-fusion-orf	ORF1a-E	"(746.3333333333334, 760)"	
2504	28013	11	106	9	2504 - 28013	25509						frameshift-fusion-orf	ORF1a-ORF8	"(746.3333333333334, 749)"	
12974	29409	11	106	9	12974 - 29409	16435						frameshift-fusion-orf	ORF1a-N	"(4236.333333333333, 4249)"	
2504	26333	11	106	9	2504 - 26333	23829						frameshift-fusion-orf	ORF1a-E	"(746.3333333333334, 747)"	
2504	23230	11	106	9	2504 - 23230	20726						frameshift-fusion-orf	ORF1a-S	"(746.3333333333334, 760)"	
2504	23327	11	106	9	2504 - 23327	20823						in-frame-fusion-orf	ORF1a-S	"(746.3333333333334, 685.6666666666666)"	
4298	22147	11	106	9	4298 - 22147	17849						frameshift-fusion-orf	ORF1a-S	"(1344.3333333333333, 1346)"	
2504	18457	11	106	9	2504 - 18457	15953						in-frame-fusion-orf	ORF1a-ORF1b	"(746.3333333333334, 1031.6666666666667)"	
2504	13667	11	106	9	2504 - 13667	11163						frameshift-fusion-orf	ORF1a-ORF1b	"(746.3333333333334, 776)"	
2504	12089	11	106	9	2504 - 12089	9585						in-frame-fusion-orf	ORF1a-ORF1a	"(746.3333333333334, 459.3333333333333)"	
2504	23854	11	106	9	2504 - 23854	21350						frameshift-fusion-orf	ORF1a-S	"(746.3333333333334, 754)"	
2504	11984	11	106	9	2504 - 11984	9480						in-frame-fusion-orf	ORF1a-ORF1a	"(746.3333333333334, 494.3333333333333)"	
2504	11189	11	106	9	2504 - 11189	8685						in-frame-fusion-orf	ORF1a-ORF1a	"(746.3333333333334, 759.3333333333334)"	
2504	29498	11	106	9	2504 - 29498	26994						in-frame-fusion-orf	ORF1a-N	"(746.3333333333334, 11.666666666666666)"	
2504	27925	11	106	9	2504 - 27925	25421						frameshift-fusion-orf	ORF1a-ORF8	"(746.3333333333334, 748)"	
2504	26071	11	106	9	2504 - 26071	23567						in-frame-fusion-orf	ORF1a-ORF3a	"(746.3333333333334, 49.666666666666664)"	
2504	8906	11	106	9	2504 - 8906	6402						in-frame-fusion-orf	ORF1a-ORF1a	"(746.3333333333334, 1520.3333333333333)"	
2504	28997	11	106	9	2504 - 28997	26493						in-frame-fusion-orf	ORF1a-N	"(746.3333333333334, 178.66666666666666)"	
2504	29061	11	106	9	2504 - 29061	26557						frameshift-fusion-orf	ORF1a-N	"(746.3333333333334, 753)"	
1641	27630	11	106	9	1641 - 27630	25989						frameshift-fusion-orf	ORF1a-ORF7a	"(458.6666666666667, 486)"	
2504	7635	11	106	9	2504 - 7635	5131						frameshift-fusion-orf	ORF1a-ORF1a	"(746.3333333333334, 770)"	
2450	16332	11	106	9	2450 - 16332	13882						frameshift-fusion-orf	ORF1a-ORF1b	"(728.3333333333334, 735)"	
2504	29087	11	106	9	2504 - 29087	26583						in-frame-fusion-orf	ORF1a-N	"(746.3333333333334, 148.66666666666666)"	
2504	29358	11	106	9	2504 - 29358	26854						frameshift-fusion-orf	ORF1a-N	"(746.3333333333334, 776)"	
5075	11287	11	106	9	5075 - 11287	6212						frameshift-fusion-orf	ORF1a-ORF1a	"(1603.3333333333333, 1606)"	
2289	23283	11	106	9	2289 - 23283	20994						in-frame-fusion-orf	ORF1a-S	"(674.6666666666666, 700.3333333333334)"	
1648	12495	11	106	9	1648 - 12495	10847						frameshift-fusion-orf	ORF1a-ORF1a	"(461.0, 461)"	
16833	23718	11	106	9	16833 - 23718	6885						frameshift-fusion-orf	ORF1b-S	"(1122.0, 1123)"	
2178	9980	11	106	9	2178 - 9980	7802						frameshift-fusion-orf	ORF1a-ORF1a	"(637.6666666666666, 638)"	
16833	28059	11	106	9	16833 - 28059	11226						frameshift-fusion-orf	ORF1b-ORF8	"(1122.0, 1123)"	
2288	29276	11	106	9	2288 - 29276	26988						in-frame-fusion-orf	ORF1a-N	"(674.3333333333334, 85.66666666666667)"	
14741	23536	11	106	9	14741 - 23536	8795						frameshift-fusion-orf	ORF1b-S	"(424.6666666666667, 453)"	
1820	17584	11	106	9	1820 - 17584	15764						in-frame-fusion-orf	ORF1a-ORF1b	"(518.3333333333334, 1322.6666666666667)"	
1815	7166	11	106	9	1815 - 7166	5351						frameshift-fusion-orf	ORF1a-ORF1a	"(516.6666666666666, 530)"	
1648	16760	11	106	9	1648 - 16760	15112						frameshift-fusion-orf	ORF1a-ORF1b	"(461.0, 462)"	
2504	15525	11	106	9	2504 - 15525	13021						frameshift-fusion-orf	ORF1a-ORF1b	"(746.3333333333334, 755)"	
1647	25434	11	106	9	1647 - 25434	23787						frameshift-fusion-orf	ORF1a-ORF3a	"(460.6666666666667, 461)"	
1647	20455	11	106	9	1647 - 20455	18808						frameshift-fusion-orf	ORF1a-ORF1b	"(460.6666666666667, 470)"	
1647	11509	11	106	9	1647 - 11509	9862						frameshift-fusion-orf	ORF1a-ORF1a	"(460.6666666666667, 483)"	
12164	21633	11	106	9	12164 - 21633	9469						frameshift-fusion-orf	ORF1a-S	"(3966.3333333333335, 4042)"	
1645	8061	11	106	9	1645 - 8061	6416						frameshift-fusion-orf	ORF1a-ORF1a	"(460.0, 463)"	
1644	12647	11	106	9	1644 - 12647	11003						frameshift-fusion-orf	ORF1a-ORF1a	"(459.6666666666667, 473)"	
16833	22995	11	106	9	16833 - 22995	6162						frameshift-fusion-orf	ORF1b-S	"(1122.0, 1124)"	
22642	28059	11	106	9	22642 - 28059	5417						frameshift-fusion-orf	S-ORF8	"(360.0, 361)"	
14284	22995	11	106	9	14284 - 22995	8711						frameshift-fusion-orf	ORF1b-S	"(272.3333333333333, 304)"	
2286	23406	11	106	9	2286 - 23406	21120						in-frame-fusion-orf	ORF1a-S	"(673.6666666666666, 659.3333333333334)"	
14284	23730	11	106	9	14284 - 23730	9446						frameshift-fusion-orf	ORF1b-S	"(272.3333333333333, 280)"	
2185	14062	11	106	9	2185 - 14062	11877						frameshift-fusion-orf	ORF1a-ORF1b	"(640.0, 666)"	
14280	26095	11	106	9	14280 - 26095	11815						frameshift-fusion-orf	ORF1b-ORF3a	"(271.0, 295)"	
2286	19090	11	106	9	2286 - 19090	16804						frameshift-fusion-orf	ORF1a-ORF1b	"(673.6666666666666, 674)"	
2287	10791	11	106	9	2287 - 10791	8504						frameshift-fusion-orf	ORF1a-ORF1a	"(674.0, 675)"	
4297	24608	10	106	9	4297 - 24608	20311						frameshift-fusion-orf	ORF1a-S	"(1344.0, 1388)"	
2449	13586	10	106	9	2449 - 13586	11137						frameshift-fusion-orf	ORF1a-ORF1b	"(728.0, 730)"	
16833	26548	10	106	9	16833 - 26548	9715						frameshift-fusion-orf	ORF1b-M	"(1122.0, 1123)"	
14284	26211	10	106	9	14284 - 26211	11927						frameshift-fusion-orf	ORF1b-ORF3a	"(272.3333333333333, 278)"	
11394	23333	10	106	9	11394 - 23333	11939						frameshift-fusion-orf	ORF1a-S	"(3709.6666666666665, 3724)"	
12428	23211	10	106	9	12428 - 23211	10783						frameshift-fusion-orf	ORF1a-S	"(4054.3333333333335, 4102)"	
2288	28703	10	106	9	2288 - 28703	26415						in-frame-fusion-orf	ORF1a-N	"(674.3333333333334, 276.6666666666667)"	
11394	27271	10	106	9	11394 - 27271	15877						frameshift-fusion-orf	ORF1a-ORF6	"(3709.6666666666665, 3715)"	
3416	17667	10	106	9	3416 - 17667	14251						frameshift-fusion-orf	ORF1a-ORF1b	"(1050.3333333333333, 1055)"	
13142	21641	10	106	9	13142 - 21641	8499						in-frame-fusion-orf	ORF1a-S	"(4292.333333333333, 1247.6666666666667)"	
11730	25000	10	106	9	11730 - 25000	13270						frameshift-fusion-orf	ORF1a-S	"(3821.6666666666665, 3827)"	
16443	29114	10	106	9	16443 - 29114	12671						frameshift-fusion-orf	ORF1b-N	"(992.0, 1002)"	
3851	17464	10	106	9	3851 - 17464	13613						in-frame-fusion-orf	ORF1a-ORF1b	"(1195.3333333333333, 1362.6666666666667)"	
3901	11925	10	106	9	3901 - 11925	8024						frameshift-fusion-orf	ORF1a-ORF1a	"(1212.0, 1221)"	
6133	11773	10	106	9	6133 - 11773	5640						in-frame-fusion-orf	ORF1a-ORF1a	"(1956.0, 564.6666666666666)"	
16675	23555	10	106	9	16675 - 23555	6880						in-frame-fusion-orf	ORF1b-S	"(1069.3333333333333, 609.6666666666666)"	
12338	28223	10	106	9	12338 - 28223	15885						frameshift-fusion-orf	ORF1a-ORF8	"(4024.3333333333335, 4026)"	
3075	10596	10	106	9	3075 - 10596	7521						in-frame-fusion-orf	ORF1a-ORF1a	"(936.6666666666666, 957.0)"	
14281	26757	10	106	9	14281 - 26757	12476						in-frame-fusion-orf	ORF1b-M	"(271.3333333333333, 144.66666666666666)"	
3200	18086	10	106	9	3200 - 18086	14886						frameshift-fusion-orf	ORF1a-ORF1b	"(978.3333333333334, 1011)"	
14741	27889	10	106	9	14741 - 27889	13148						mid-utr-inserted-fusion	ORF1b-ORF8	"(424.6666666666667, 1.3333333333333333)"	
22113	28132	10	106	9	22113 - 28132	6019						in-frame-fusion-orf	S-ORF8	"(183.66666666666666, 42.333333333333336)"	
3479	10708	10	106	9	3479 - 10708	7229						frameshift-fusion-orf	ORF1a-ORF1a	"(1071.3333333333333, 1080)"	
3479	11123	10	106	9	3479 - 11123	7644						in-frame-fusion-orf	ORF1a-ORF1a	"(1071.3333333333333, 781.3333333333334)"	
2504	29455	10	106	9	2504 - 29455	26951						frameshift-fusion-orf	ORF1a-N	"(746.3333333333334, 753)"	
4295	18492	10	106	9	4295 - 18492	14197						frameshift-fusion-orf	ORF1a-ORF1b	"(1343.3333333333333, 1363)"	
4866	20887	10	106	9	4866 - 20887	16021						frameshift-fusion-orf	ORF1a-ORF1b	"(1533.6666666666667, 1557)"	
4295	28130	10	106	9	4295 - 28130	23835						frameshift-fusion-orf	ORF1a-ORF8	"(1343.3333333333333, 1352)"	
21358	29394	10	106	9	21358 - 29394	8036						frameshift-fusion-orf	ORF1b-N	"(2630.3333333333335, 2648)"	
4963	17471	10	106	9	4963 - 17471	12508						frameshift-fusion-orf	ORF1a-ORF1b	"(1566.0, 1567)"	
4363	29289	10	106	9	4363 - 29289	24926						frameshift-fusion-orf	ORF1a-N	"(1366.0, 1367)"	
3475	28955	10	106	9	3475 - 28955	25480						frameshift-fusion-orf	ORF1a-N	"(1070.0, 1112)"	
3419	22180	10	106	9	3419 - 22180	18761						frameshift-fusion-orf	ORF1a-S	"(1051.3333333333333, 1055)"	
22971	29189	10	106	9	22971 - 29189	6218						frameshift-fusion-orf	S-N	"(469.6666666666667, 504)"	
3091	10246	10	106	9	3091 - 10246	7155						in-frame-fusion-orf	ORF1a-ORF1a	"(942.0, 1073.6666666666667)"	
21362	29339	10	106	9	21362 - 29339	7977						frameshift-fusion-orf	ORF1b-N	"(2631.6666666666665, 2633)"	
4299	23542	10	106	9	4299 - 23542	19243						frameshift-fusion-orf	ORF1a-S	"(1344.6666666666667, 1371)"	
4514	11908	10	106	9	4514 - 11908	7394						frameshift-fusion-orf	ORF1a-ORF1a	"(1416.3333333333333, 1420)"	
